text,acronym,option_text,label
LRA  limite de résistance des attelages PAR poste d’aiguillage et de régulation PL pleine ligne PN passage à niveau RFN réseau ferré national,PAR,Plan d'action régularité,0
LRA  limite de résistance des attelages PAR poste d’aiguillage et de régulation PL pleine ligne PN passage à niveau RFN réseau ferré national,PAR,Poste d'aiguillage et de régulation : assure les commandes des installations de signalisation et la gestion de la circulation des huit lignes à grande vitesse,1
LRA  limite de résistance des attelages PAR poste d’aiguillage et de régulation PL pleine ligne PN passage à niveau RFN réseau ferré national,PAR,PONT DE L'ARCHE,0
LRA  limite de résistance des attelages PAR poste d’aiguillage et de régulation PL pleine ligne PN passage à niveau RFN réseau ferré national,PAR,Plan d'action régional,0
Désigna -tion des PN,PN,"Passages à niveau : fichier des pn, recensement des accidents de pn, statistiques (infrastructure)",0
Désigna -tion des PN,PN,Paris Nord,0
Désigna -tion des PN,PN,PONS,0
Désigna -tion des PN,PN,Période normale,0
Désigna -tion des PN,PN,Partiellement noté,0
Désigna -tion des PN,PN,Pousse non attelée,0
Désigna -tion des PN,PN,Passage à Niveau,1
"prédéterminées de trains : _x0001_ les masses admissibles standard pour les trains (et éventuellement celles pour les trains entiers) pour chaque série ou groupement de séries d'EM autorisés à circuler sur tout ou partie du domaine couvert par le document, _x0001_ la limite de résistance des attelages standard [en distinguant éventuellement avec",EM,EMERAINVILLE PONTAULT COMBAULT,0
"prédéterminées de trains : _x0001_ les masses admissibles standard pour les trains (et éventuellement celles pour les trains entiers) pour chaque série ou groupement de séries d'EM autorisés à circuler sur tout ou partie du domaine couvert par le document, _x0001_ la limite de résistance des attelages standard [en distinguant éventuellement avec",EM,"Engin Moteur.   Terme général désignant tout véhicule ayant la propriété de se déplacer par ses propres moyens : machine, automoteur, élément automoteur, draisine, engin spécial motorisé non déraillable.",1
"prédéterminées de trains : _x0001_ les masses admissibles standard pour les trains (et éventuellement celles pour les trains entiers) pour chaque série ou groupement de séries d'EM autorisés à circuler sur tout ou partie du domaine couvert par le document, _x0001_ la limite de résistance des attelages standard [en distinguant éventuellement avec",EM,Emetteur,0
"prédéterminées de trains : _x0001_ les masses admissibles standard pour les trains (et éventuellement celles pour les trains entiers) pour chaque série ou groupement de séries d'EM autorisés à circuler sur tout ou partie du domaine couvert par le document, _x0001_ la limite de résistance des attelages standard [en distinguant éventuellement avec",EM,État membre,0
"prédéterminées de trains : _x0001_ les masses admissibles standard pour les trains (et éventuellement celles pour les trains entiers) pour chaque série ou groupement de séries d'EM autorisés à circuler sur tout ou partie du domaine couvert par le document, _x0001_ la limite de résistance des attelages standard [en distinguant éventuellement avec",EM,Étude mécanique,0
"prédéterminées de trains : _x0001_ les masses admissibles standard pour les trains (et éventuellement celles pour les trains entiers) pour chaque série ou groupement de séries d'EM autorisés à circuler sur tout ou partie du domaine couvert par le document, _x0001_ la limite de résistance des attelages standard [en distinguant éventuellement avec",EM,électro-magnétique,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,ACcès,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,Agent d'aCcompagnement,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,Agent Circulation,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,Agent du service Commercial,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,Action Corrective,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,AURILLAC,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,Autorité de Certification,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,Accord Cadre,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,Attestation de Compatibilité du matériel roulant à l'infrastructure,0
/Commentaires N° AC B81500 thermique:  compatibilité : OUI/restrictions : les AGC sont interdits à la desserte commerciale des établis-sements dont la hauteur des quais est ≥ 760 mm,AC,Amélioration Continue,0
"kilomètres/heure (ex : 12 pour 120 km/h), _x0001_ d'une lettre indiquant le respect ou non des tableaux indicateurs de vitesse de type C (C respecte les TIV, N ne respecte pas les TIV). Engin moteur Véhicule ayant la capacité de se déplacer par ses propres moyens",TIV,THIVIERS,0
"kilomètres/heure (ex : 12 pour 120 km/h), _x0001_ d'une lettre indiquant le respect ou non des tableaux indicateurs de vitesse de type C (C respecte les TIV, N ne respecte pas les TIV). Engin moteur Véhicule ayant la capacité de se déplacer par ses propres moyens",TIV,Trafic international voyageur,0
